date,symbol,open,high,low,close,adjclose,volume,dividend,split,data_source,company_name,exchange,currency,instrument_type,market_cap_latest,trailing_pe_latest,forward_pe_latest,fifty_two_week_high_latest,fifty_two_week_low_latest,event_count,event_titles,event_summaries,event_publishers,event_links,keywords
2021-02-10,600519.SS,2270.79,2386.99,2270.79,2386.79,2386.79,61371.0,,,tencent,600519,SSE,CNY,EQUITY,,,,,,1,600519 2021-02-10 日行情文本摘要,2021-02-10，600519A股交易日行情记录；开盘价2270.79；最高价2386.99；最低价2270.79；收盘价2386.79；成交量61371；按开盘价计算当日上涨5.11%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,程序生成行情文本摘要,,日行情文本摘要; 股交易日行情记录; 开盘价; 最高价; 最低价; 收盘价; 成交量; 按开盘价计算当日上涨; 该条为程序根据当日; ohlcv; 行情生成的文本补充; 用于保证每日行情数据均有对应文本字段
2021-02-11,600519.SS,,,,,,,,,,600519,SSE,CNY,EQUITY,,,,,,0,,,,,
2021-02-12,600519.SS,,,,,,,,,,600519,SSE,CNY,EQUITY,,,,,,0,,,,,
2021-02-13,600519.SS,,,,,,,,,,600519,SSE,CNY,EQUITY,,,,,,0,,,,,
2021-02-14,600519.SS,,,,,,,,,,600519,SSE,CNY,EQUITY,,,,,,0,,,,,
2021-02-15,600519.SS,,,,,,,,,,600519,SSE,CNY,EQUITY,,,,,,0,,,,,
2021-02-16,600519.SS,,,,,,,,,,600519,SSE,CNY,EQUITY,,,,,,0,,,,,
2021-02-17,600519.SS,,,,,,,,,,600519,SSE,CNY,EQUITY,,,,,,0,,,,,
2021-02-18,600519.SS,2373.77,2413.67,2250.79,2256.79,2256.79,65912.0,,,tencent,600519,SSE,CNY,EQUITY,,,,,,1,600519 2021-02-18 日行情文本摘要,2021-02-18，600519A股交易日行情记录；开盘价2373.77；最高价2413.67；最低价2250.79；收盘价2256.79；成交量65912；按开盘价计算当日下跌4.93%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,程序生成行情文本摘要,,日行情文本摘要; 股交易日行情记录; 开盘价; 最高价; 最低价; 收盘价; 成交量; 按开盘价计算当日下跌; 该条为程序根据当日; ohlcv; 行情生成的文本补充; 用于保证每日行情数据均有对应文本字段
2021-02-19,600519.SS,2236.95,2282.45,2167.39,2245.79,2245.79,59385.0,,,tencent,600519,SSE,CNY,EQUITY,,,,,,1,600519 2021-02-19 日行情文本摘要,2021-02-19，600519A股交易日行情记录；开盘价2236.95；最高价2282.45；最低价2167.39；收盘价2245.79；成交量59385；按开盘价计算当日上涨0.40%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,程序生成行情文本摘要,,日行情文本摘要; 股交易日行情记录; 开盘价; 最高价; 最低价; 收盘价; 成交量; 按开盘价计算当日上涨; 该条为程序根据当日; ohlcv; 行情生成的文本补充; 用于保证每日行情数据均有对应文本字段
2021-02-20,600519.SS,,,,,,,,,,600519,SSE,CNY,EQUITY,,,,,,0,,,,,
2021-02-21,600519.SS,,,,,,,,,,600519,SSE,CNY,EQUITY,,,,,,0,,,,,
2021-02-22,600519.SS,2240.79,2240.79,2064.01,2073.81,2073.81,78935.0,,,tencent,600519,SSE,CNY,EQUITY,,,,,,1,600519 2021-02-22 日行情文本摘要,2021-02-22，600519A股交易日行情记录；开盘价2240.79；最高价2240.79；最低价2064.01；收盘价2073.81；成交量78935；按开盘价计算当日下跌7.45%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,程序生成行情文本摘要,,日行情文本摘要; 股交易日行情记录; 开盘价; 最高价; 最低价; 收盘价; 成交量; 按开盘价计算当日下跌; 该条为程序根据当日; ohlcv; 行情生成的文本补充; 用于保证每日行情数据均有对应文本字段
2021-02-23,600519.SS,2050.93,2130.68,2050.79,2092.79,2092.79,57455.0,,,tencent,600519,SSE,CNY,EQUITY,,,,,,1,600519 2021-02-23 日行情文本摘要,2021-02-23，600519A股交易日行情记录；开盘价2050.93；最高价2130.68；最低价2050.79；收盘价2092.79；成交量57455；按开盘价计算当日上涨2.04%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,程序生成行情文本摘要,,日行情文本摘要; 股交易日行情记录; 开盘价; 最高价; 最低价; 收盘价; 成交量; 按开盘价计算当日上涨; 该条为程序根据当日; ohlcv; 行情生成的文本补充; 用于保证每日行情数据均有对应文本字段
2021-02-24,600519.SS,2093.78,2103.79,1946.29,1974.79,1974.79,82116.0,,,tencent,600519,SSE,CNY,EQUITY,,,,,,1,600519 2021-02-24 日行情文本摘要,2021-02-24，600519A股交易日行情记录；开盘价2093.78；最高价2103.79；最低价1946.29；收盘价1974.79；成交量82116；按开盘价计算当日下跌5.68%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,程序生成行情文本摘要,,日行情文本摘要; 股交易日行情记录; 开盘价; 最高价; 最低价; 收盘价; 成交量; 按开盘价计算当日下跌; 该条为程序根据当日; ohlcv; 行情生成的文本补充; 用于保证每日行情数据均有对应文本字段
2021-02-25,600519.SS,1994.79,2010.29,1907.0,1935.79,1935.79,59726.0,,,tencent,600519,SSE,CNY,EQUITY,,,,,,1,600519 2021-02-25 日行情文本摘要,2021-02-25，600519A股交易日行情记录；开盘价1994.79；最高价2010.29；最低价1907；收盘价1935.79；成交量59726；按开盘价计算当日下跌2.96%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,程序生成行情文本摘要,,日行情文本摘要; 股交易日行情记录; 开盘价; 最高价; 最低价; 收盘价; 成交量; 按开盘价计算当日下跌; 该条为程序根据当日; ohlcv; 行情生成的文本补充; 用于保证每日行情数据均有对应文本字段
