date,net_flow,net_flow_cny_million,money_flow_method,traded_value,net_flow_direction
2025-07-27,0.0,0.0,ohlcv_price_volume_proxy,0.0,flat
2025-07-28,304032944.25000226,304.0329442500023,ohlcv_price_volume_proxy,810754518.0,inflow
2025-07-29,676559198.9999999,676.5591989999999,ohlcv_price_volume_proxy,676559198.9999999,inflow
2025-07-30,-952730337.894739,-952.730337894739,ohlcv_price_volume_proxy,1064816260.0,outflow
2025-07-31,-1253056609.5384562,-1253.0566095384563,ohlcv_price_volume_proxy,1480885084.0000002,outflow
2025-08-01,-590182956.0,-590.182956,ohlcv_price_volume_proxy,590182956.0,outflow
2025-08-02,0.0,0.0,ohlcv_price_volume_proxy,0.0,flat
2025-08-03,0.0,0.0,ohlcv_price_volume_proxy,0.0,flat
2025-08-04,378384864.0,378.384864,ohlcv_price_volume_proxy,378384864.0,inflow
2025-08-05,420948930.0,420.94893,ohlcv_price_volume_proxy,420948930.0,inflow
2025-08-06,219656808.0000026,219.6568080000026,ohlcv_price_volume_proxy,366094680.0,inflow
2025-08-07,376572439.4999916,376.5724394999916,ohlcv_price_volume_proxy,502096585.99999994,inflow
2025-08-08,66345603.000004716,66.34560300000471,ohlcv_price_volume_proxy,331728015.0,inflow
2025-08-09,0.0,0.0,ohlcv_price_volume_proxy,0.0,flat
2025-08-10,0.0,0.0,ohlcv_price_volume_proxy,0.0,flat
2025-08-11,-319511563.1999849,-319.5115631999849,ohlcv_price_volume_proxy,532519272.00000006,outflow
2025-08-12,-95007809.20000675,-95.00780920000675,ohlcv_price_volume_proxy,475039046.0,outflow
2025-08-13,-74819904.57142667,-74.81990457142668,ohlcv_price_volume_proxy,523739332.0,outflow
2025-08-14,-772514989.0,-772.514989,ohlcv_price_volume_proxy,772514989.0,outflow
2025-08-15,306404501.1764751,306.4045011764751,ohlcv_price_volume_proxy,1041775304.0000001,inflow
2025-08-16,0.0,0.0,ohlcv_price_volume_proxy,0.0,flat
2025-08-17,0.0,0.0,ohlcv_price_volume_proxy,0.0,flat
2025-08-18,-449028125.000005,-449.028125000005,ohlcv_price_volume_proxy,898056250.0,outflow
2025-08-19,-636356466.5999925,-636.3564665999925,ohlcv_price_volume_proxy,1060594111.0000001,outflow
2025-08-20,77384200.90908965,77.38420090908966,ohlcv_price_volume_proxy,851226210.0,inflow
2025-08-21,-1.2573324662904955e-05,-1.2573324662904954e-11,ohlcv_price_volume_proxy,849378303.9999999,outflow
2025-08-22,857850544.0,857.850544,ohlcv_price_volume_proxy,857850544.0,inflow
2025-08-23,0.0,0.0,ohlcv_price_volume_proxy,0.0,flat
2025-08-24,0.0,0.0,ohlcv_price_volume_proxy,0.0,flat
